nombre;categoria;;nombre1;nombre2;numero1;numero2;numero3;numero4;numero5;numero6;numero7;numero8;numero9;videomobile1;video1;engine1;videomobile2;video2;engine2;videomobile3;video3;engine3;videomobile4;video4;engine4;videomobile5;video5;engine5;videomobile6;video6;engine6;videomobile7;video7;engine7;videomobile8;video8;engine8;videomobile9;video9;engine9
Kawaii;Kawaii;;kawaii;kawaii;1;2;3;4;5;6;7;8;9;NFJDlnlm;XEXfJFBa;https://steamcommunity.com/sharedfiles/filedetails/?id=2655940967;kOAnzzKt;w0jVWZFK;https://steamcommunity.com/sharedfiles/filedetails/?id=2816393948;p8vDuNsz;JqZ9MVAf;https://steamcommunity.com/sharedfiles/filedetails/?id=2878293294;qloUtqvH;xWzauHvC;https://steamcommunity.com/sharedfiles/filedetails/?id=2917046986;nBukKuVC;Tr22peIx;https://steamcommunity.com/sharedfiles/filedetails/?id=1849272913;kd2LBrXc;lbK7E68H;https://steamcommunity.com/sharedfiles/filedetails/?id=2865859120;dbyjeg12;y18J63xz;https://steamcommunity.com/sharedfiles/filedetails/?id=2820015143;E64eCITL;GUB0lu7z;https://steamcommunity.com/sharedfiles/filedetails/?id=2645058589;LOIXLL4W;cli6wNv3;https://steamcommunity.com/sharedfiles/filedetails/?id=2934211686
Chainsaw Man;Chainsaw Man;;chainsaw-man;chainsaw-man;1;2;3;4;;;;;;KjBwAG9Z;M4fufmLx;https://steamcommunity.com/sharedfiles/filedetails/?id=2894883126;QFjSVEi8;GeG2KjCi;https://steamcommunity.com/sharedfiles/filedetails/?id=2890444908;BUNLr5p4;5SDCOoEh;https://steamcommunity.com/sharedfiles/filedetails/?id=2891436409;Bd1S0VL8;s9LtSYdF;https://steamcommunity.com/sharedfiles/filedetails/?id=2897967612;;;;;;;;;;;;;;;
Yellow;Yellow;;yellow;yellow;1;2;3;4;;;;;;icsDfYj3;pAqJT8c0;https://steamcommunity.com/sharedfiles/filedetails/?id=2520452730;NlYTUB8H;UxkVDDPZ;https://steamcommunity.com/sharedfiles/filedetails/?id=2841541276;oBJVg1Vt;3QyA4wHZ;https://steamcommunity.com/sharedfiles/filedetails/?id=2308633121;IGlvbHNE;CNguhW8E;https://steamcommunity.com/sharedfiles/filedetails/?id=2867441387;;;;;;;;;;;;;;;
Blue;Blue;;blue;blue;1;2;;;;;;;;b8pASpEO;yLq6wyOX;https://steamcommunity.com/sharedfiles/filedetails/?id=2930435589;SC1zU9KV;mQbf84af;https://steamcommunity.com/sharedfiles/filedetails/?id=2807312062;;;;;;;;;;;;;;;;;;;;;
League Of Legends;League Of Legends;;league-of-legends;league-of-legends;1;2;3;4;;;;;;bVAW01dO;nc74ixW6;https://steamcommunity.com/sharedfiles/filedetails/?id=2936720047;9wwHFrU6;p8QzzWED;https://steamcommunity.com/sharedfiles/filedetails/?id=2937280634;0Egfu7SW;Ae7WSoc6;https://steamcommunity.com/sharedfiles/filedetails/?id=2937320571;1697ToAA;hGKntDtj;https://steamcommunity.com/sharedfiles/filedetails/?id=2937004871;;;;;;;;;;;;;;;
ArtWork;ArtWork;;artwork;artwork;1;2;3;4;5;6;;;;MNCDJLC3;o1xEHNbS;https://steamcommunity.com/sharedfiles/filedetails/?id=2932109741;HYpLQZwd;KVFSTBVf;https://steamcommunity.com/sharedfiles/filedetails/?id=2939159294;6dGQkZjB;1S9S3Zfy;https://steamcommunity.com/sharedfiles/filedetails/?id=2937186483;8qZOHT1e;D9Iecvxo;https://steamcommunity.com/sharedfiles/filedetails/?id=2936599848;9TS5MT69;3Rqu8iHl;https://steamcommunity.com/sharedfiles/filedetails/?id=2937438957;m30jK5Rf;WvHhfkev;https://steamcommunity.com/sharedfiles/filedetails/?id=2859467968;;;;;;;;;
Persona 5;Persona 5;;persona-5;persona-5;1;2;3;;;;;;;BJU6n5si;PtEUA4pm;https://steamcommunity.com/sharedfiles/filedetails/?id=2937986548;Xyejj92r;7fGpLJbZ;https://steamcommunity.com/sharedfiles/filedetails/?id=2938478334;0Uvqw0V6;tdre6GjJ;https://steamcommunity.com/sharedfiles/filedetails/?id=2939904234;;;;;;;;;;;;;;;;;;
Pokemon;Pokemon;;pokemon;pokemon;1;2;;;;;;;;TjJ2n3qj;fGHgPrH3;https://steamcommunity.com/sharedfiles/filedetails/?id=2821733947;I9fDOpZF;fGHgPrH3;https://steamcommunity.com/sharedfiles/filedetails/?id=2939845898;;;;;;;;;;;;;;;;;;;;;
Genshin Impact;Genshin Impact;;genshin-impact;genshin-impact;1;2;3;4;5;6;7;;;Pf0jPfr0;5eHFn4FP;https://steamcommunity.com/sharedfiles/filedetails/?id=2931809953;yVDlQFzS;UI0b3kNz;https://steamcommunity.com/sharedfiles/filedetails/?id=2938553061;zwIJow4V;XUg64Rdk;https://steamcommunity.com/sharedfiles/filedetails/?id=2937731373;VuUFHFPw;5xMpWV0J;https://steamcommunity.com/sharedfiles/filedetails/?id=2938018388;vthVUHxe;DssguRCW;https://steamcommunity.com/sharedfiles/filedetails/?id=2935621329;65nNZ4Ca;iTAqHiXt;https://steamcommunity.com/sharedfiles/filedetails/?id=2936007418;7nG7h7dM;6rqi7pc5;https://steamcommunity.com/sharedfiles/filedetails/?id=2935389670;;;;;;
Paisajes;Paisajes;;pasiajes;pasiajes;1;2;3;4;5;6;7;;;JIW80qgu;VdKnQAgf;https://steamcommunity.com/sharedfiles/filedetails/?id=2933386637;8DHf2hnc;xh5boHks;https://steamcommunity.com/sharedfiles/filedetails/?id=2937985638;FeWSCsqu;0jIgMReU;https://steamcommunity.com/sharedfiles/filedetails/?id=2938062622;ZbYcXV26;9KWW76qj;https://steamcommunity.com/sharedfiles/filedetails/?id=2936575086;m5iItRPW;wcOMRH3j;https://steamcommunity.com/sharedfiles/filedetails/?id=2938314995;h9aJbNSj;1LeT0Zgy;https://steamcommunity.com/sharedfiles/filedetails/?id=2938419841;OzbpqjlV;r10OLKvX;https://steamcommunity.com/sharedfiles/filedetails/?id=2939314782;;;;;;
Fantasia;Fantasia;;fantasia;fantasia;1;2;3;4;;;;;;dWzXpaw3;7la9YocO;https://steamcommunity.com/sharedfiles/filedetails/?id=2937656052;P3P5StRy;pSKZ3Jle;https://steamcommunity.com/sharedfiles/filedetails/?id=2938151106;EszGgiq5;0YfLLGk4;https://steamcommunity.com/sharedfiles/filedetails/?id=2937628268;zjU12nPi;d3Mp8A28;https://steamcommunity.com/sharedfiles/filedetails/?id=2938552064;;;;;;;;;;;;;;;
Sci-Fi;Sci-Fi;;sci-fi;sci-fi;1;2;3;;;;;;;NGy67Noz;ZKELuoV5;https://steamcommunity.com/sharedfiles/filedetails/?id=2910897497;h0QvipGL;Tmv7MlMo;https://steamcommunity.com/sharedfiles/filedetails/?id=2940275165;zxwgVfBt;6T68rF74;https://steamcommunity.com/sharedfiles/filedetails/?id=2939226173;;;;;;;;;;;;;;;;;;
Relajantes;Relajantes;;relajantes;relajantes;1;2;3;;;;;;;2ZnNceeB;pvnRiURg;https://steamcommunity.com/sharedfiles/filedetails/?id=2937323442;cn4rvd8O;aVv03Rkz;https://steamcommunity.com/sharedfiles/filedetails/?id=2939619352;Q6jKAYy4;7zAv7url;https://steamcommunity.com/sharedfiles/filedetails/?id=2935770445;;;;;;;;;;;;;;;;;;
Espacio;Espacio;;espacio;espacio;1;2;;;;;;;;O95VUFEu;YIBo08G2;https://steamcommunity.com/sharedfiles/filedetails/?id=2937014968;7PdK0de4;0hx6wOYY;https://steamcommunity.com/sharedfiles/filedetails/?id=2937531568;;;;;;;;;;;;;;;;;;;;;
Destiny;Destiny;;destiny;destiny;1;2;;;;;;;;iSlrM0xJ;8I9hvhJH;https://steamcommunity.com/sharedfiles/filedetails/?id=2940123750;QdDvwkVQ;Xqqnvp92;https://steamcommunity.com/sharedfiles/filedetails/?id=2937663001;;;;;;;;;;;;;;;;;;;;;
Pixel Art;Pixel Art;;pixel-art;pixel-art;1;2;;;;;;;;22au1NNQ;j3D8iEEV;https://steamcommunity.com/sharedfiles/filedetails/?id=2939608806;tFhP917t;rpqUyaQv;https://steamcommunity.com/sharedfiles/filedetails/?id=2938140876;;;;;;;;;;;;;;;;;;;;;
